Asset 1,Asset 2,T Statistic,P-Value,Volatility,Cluster
MTD,LYV,-5.723121600649849,6.26754772801061e-06,0.03546499477808448,3
AEE,PNW,-4.865934605784937,0.0002882049261722511,0.009944406561840171,1
MTD,PKG,-4.705742577230976,0.0005511633547501309,0.059599124557534626,3
CHTR,IDXX,-4.54296193648609,0.0010400021855842259,0.04560896177319331,3
MU,MPWR,-4.531350373622813,0.0010871624799097296,0.12311335393254873,2
JPM,FITB,-4.519072934300079,0.0011391972627174225,0.04098735675771048,2
PWR,CSX,-4.508938601291506,0.001183892801336506,0.02527433695611687,2
JPM,RJF,-4.506684765296322,0.0011940530640458086,0.037926432940387424,2
C,CFG,-4.491597262642958,0.0012641924474580857,0.04391247249742552,2
PTC,PKG,-4.434926679777945,0.001563439839504505,0.024456373083172948,3
CTAS,ALGN,-4.26525228460574,0.0028988123823151498,0.02694850226708334,3
MKTX,ALGN,-4.2358392022397675,0.0032169376928514013,0.029383223042674555,3
LYV,PKG,-4.170748783185716,0.004038059196818151,0.04013681577385811,3
WEC,NI,-4.159648447931093,0.004195883765093196,0.014985123233015036,1
C,SCHW,-4.154524901570337,0.00427061555888852,0.02976221997243378,2
BAC,USB,-4.146376835083297,0.004391971366079125,0.05892080969882457,2
FICO,MSCI,-4.123121221622627,0.004755859769037744,0.024164226189215588,3
CMS,XEL,-4.019647674685673,0.006731357326411282,0.0056325882195660745,1
MPWR,NVDA,-3.9532007727787675,0.008364250632999018,0.18393048855280297,2
MPWR,HPQ,-3.946780635761022,0.00853952078047618,0.03025895913039798,2
