Asset 1,Asset 2,T Statistic,P-Value,Volatility
BK,NUE,-6.322182350127203,3.175692907035261e-07,0.17589725290981004
GOOGL,CRL,-6.186491682127556,6.360567876409446e-07,0.04783289250832303
BK,STLD,-6.038666796873559,1.3391398355761419e-06,0.11311623215499261
KO,LHX,-5.767353831565908,5.06821930839161e-06,0.036088169983428176
GOOG,CRL,-5.68960567715364,7.3553796177516e-06,0.04663868982864948
GOOG,NDAQ,-5.65727496269164,8.576985585762499e-06,0.027359751118774346
FE,STLD,-5.632619346597215,9.638510581039813e-06,0.12588098410277443
MMC,XYL,-5.431313682112613,2.458482685276177e-05,0.02146139349660235
BK,GD,-5.4063981369596625,2.7548475295157088e-05,0.025594743710515053
GOOG,EPAM,-5.398908420106485,2.850472306200019e-05,0.07042663285485246
GOOGL,XYL,-5.343025528789985,3.672000643050776e-05,0.03887962000219057
GOOGL,EPAM,-5.335787143359036,3.793787649767927e-05,0.07343393158009233
KIM,REG,-5.33173788152057,3.8636024483828594e-05,0.028873263064428306
FE,PRU,-5.298628115077659,4.4827104048543866e-05,0.03354322166498899
FE,KIM,-5.231072699883951,6.054625626929171e-05,0.028470375249587027
CPT,NDAQ,-5.216345147276368,6.461590709086239e-05,0.033596615633904425
DOC,ORCL,-5.211962697181832,6.587670959049985e-05,0.06605335614032881
DOC,LHX,-5.197232169014936,7.028978528620597e-05,0.027379612996129874
GOOG,XYL,-5.18987864985334,7.259750192087431e-05,0.041648037233401894
CBOE,ERIE,-5.187205303317254,7.345432392312243e-05,0.2215614270647031
