pair,formation_period,trading_period,cumulative_returns
"('CPT', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.39721679687499645
"('EQR', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.1908712387084952
"('BXP', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.5488138198852539
"('BK', 'AJG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",2.404179573059082
"('AJG', 'EG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",2.0121145248413015
"('BK', 'HIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",-0.9857788085937464
"('MMC', 'AIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",-3.3411941528320312
"('ARE', 'REG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.6277093887329102
"('DGX', 'BXP')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.6180830001831055
"('AIG', 'TRV')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",-5.605939865112305
"('BAX', 'AJG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.10888576507568004
"('AJG', 'NEE')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.9285545349121129
"('PLD', 'CPT')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",0.4580860137939453
"('AIG', 'HIG')","(datetime.date(2000, 1, 4), datetime.date(2000, 9, 11))","(datetime.date(2000, 9, 12), datetime.date(2000, 10, 12))",-1.4944190979003906
