pair,formation_period,trading_period,cumulative_returns
"('AVB', 'BXP')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.11479568481445668
"('CPT', 'REG')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.23772668838501332
"('CPT', 'EQR')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.07523345947265625
"('KIM', 'PLD')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.07787895202636541
"('ARE', 'CPT')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.12026977539062145
"('CPT', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.08575057983398438
"('AVB', 'BXP')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.03190994262694957
"('CPT', 'EQR')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.3705387115478551
"('KIM', 'PLD')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.009584903717041016
"('EQR', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.25023555755615234
"('CPT', 'EQR')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.11871528625488104
"('CPT', 'REG')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.21317577362060547
"('AVB', 'BXP')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.5220251083374059
"('KIM', 'PLD')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.13449811935424805
"('NUE', 'WY')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.11839532852172852
"('NUE', 'WY')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.09316444396972479
"('CPT', 'EQR')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.2658205032348686
"('CPT', 'REG')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.0
"('KIM', 'PLD')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.05762958526611328
"('CAT', 'MAS')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",-0.35017871856689453
"('CPT', 'EQR')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.21002674102783203
"('CPT', 'REG')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.1865396499633789
"('NUE', 'WY')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.0
"('KIM', 'PLD')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.14739656448364258
"('CAT', 'MAS')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",-1.253655433654787
"('CPT', 'EQR')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.03009891510010121
"('FRT', 'MAA')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.019086837768554688
"('CPT', 'REG')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.4424247741699219
"('KIM', 'PLD')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",0.0
"('PSA', 'SPG')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",0.43824672698974076
"('FRT', 'MAA')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",0.4458017349243164
"('CPT', 'EQR')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",-0.061775207519529474
"('CPT', 'REG')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",-0.23356914520263494
"('PSA', 'SPG')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",0.0
"('KIM', 'PLD')","(datetime.date(2000, 7, 3), datetime.date(2001, 7, 2))","(datetime.date(2001, 7, 3), datetime.date(2001, 8, 1))",-0.15376615524291815
"('FRT', 'MAA')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",0.32397937774658025
"('CMI', 'PPG')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",0.06444168090820312
"('CPT', 'EQR')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",0.07265472412109375
"('PSA', 'SPG')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",-0.796689987182619
"('CPT', 'REG')","(datetime.date(2000, 8, 2), datetime.date(2001, 8, 1))","(datetime.date(2001, 8, 2), datetime.date(2001, 8, 31))",0.3227291107177699
"('FRT', 'MAA')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",0.22407054901123225
"('CMI', 'PPG')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",0.14916706085205256
"('CPT', 'EQR')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",0.023852348327633166
"('EQR', 'REG')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",0.5049381256103551
"('PSA', 'SPG')","(datetime.date(2000, 8, 31), datetime.date(2001, 8, 30))","(datetime.date(2001, 8, 31), datetime.date(2001, 9, 29))",-0.410394668579098
"('FRT', 'MAA')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.0
"('CPT', 'EQR')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.2199420928955078
"('CMI', 'PPG')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.0
"('CPT', 'KIM')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.47257089614868164
"('DD', 'WY')","(datetime.date(2000, 10, 2), datetime.date(2001, 10, 1))","(datetime.date(2001, 10, 2), datetime.date(2001, 10, 31))",0.0
"('FRT', 'MAA')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.5660514831542987
"('DOV', 'UPS')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.2931699752807635
"('ED', 'FRT')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.0
"('CPT', 'EQR')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.05176544189453125
"('PPG', 'WST')","(datetime.date(2000, 10, 31), datetime.date(2001, 10, 30))","(datetime.date(2001, 10, 31), datetime.date(2001, 11, 29))",0.0
